epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.08193,1.07198,4.14713,1.59769,0.98389,0.33333,0.60806,0.45881,0.70128,4.02708,1.28366,0,0,0
2,7.43766,1.21076,4.02912,1.60089,0.98468,0.33333,0.60806,0.46986,0.65232,3.98115,1.24802,1.1e-05,1.1e-05,1.1e-05
3,10.5523,1.2511,3.53117,1.64839,0.9836,0.33333,0.60806,0.46986,0.61645,3.94993,1.20465,2.178e-05,2.178e-05,2.178e-05
4,13.4525,1.32214,3.88791,1.60921,0.98158,0.33333,0.60806,0.50303,0.57057,3.79468,1.15984,3.23401e-05,3.23401e-05,3.23401e-05
5,16.6683,0.96088,2.59864,1.32154,0.59034,0.66667,0.66333,0.54725,0.5141,3.65977,1.10282,4.26802e-05,4.26802e-05,4.26802e-05
6,19.6077,0.61833,2.40747,1.14282,0.65158,0.66667,0.66333,0.51408,0.49584,3.7427,1.07442,5.28003e-05,5.28003e-05,5.28003e-05
7,23.1311,0.80076,2.69771,1.26544,0.7555,0.66667,0.82917,0.66333,0.4591,3.78134,1.04085,6.27004e-05,6.27004e-05,6.27004e-05
8,26.5107,0.60271,1.55743,1.08436,0.75759,0.66667,0.77389,0.6965,0.42291,4.11381,1.0305,7.23805e-05,7.23805e-05,7.23805e-05
9,29.5584,0.56907,1.60741,1.05791,0.75759,0.66667,0.77389,0.6965,0.42291,4.11381,1.0305,8.18407e-05,8.18407e-05,8.18407e-05
10,32.7709,0.52776,1.54637,1.14975,0.80713,0.66667,0.82917,0.64675,0.43863,4.39217,1.02538,9.10809e-05,9.10809e-05,9.10809e-05
11,35.7606,0.71381,1.90174,1.22453,0.80713,0.66667,0.82917,0.64675,0.43863,4.39217,1.02538,0.000100101,0.000100101,0.000100101
12,38.8968,0.78437,1.87054,1.19506,0.54764,0.66667,0.56383,0.51408,0.47845,4.98163,1.0214,0.000108901,0.000108901,0.000108901
13,41.8084,0.66179,1.67726,1.17702,0.54764,0.66667,0.56383,0.51408,0.47845,4.98163,1.0214,0.000117482,0.000117482,0.000117482
14,44.8908,0.67272,1.41342,1.02147,0.82503,0.33333,0.398,0.36483,0.42498,5.42592,1.00558,0.000125842,0.000125842,0.000125842
15,48.4657,0.62455,1.72326,1.09507,0.82503,0.33333,0.398,0.36483,0.42498,5.42592,1.00558,0.000133982,0.000133982,0.000133982
16,51.7331,0.71966,1.90744,1.17577,0.49226,0.33333,0.4975,0.44775,0.40339,5.8513,0.99916,0.000141902,0.000141902,0.000141902
17,54.9336,0.67706,1.27749,1.07247,0.49226,0.33333,0.4975,0.44775,0.40339,5.8513,0.99916,0.000149603,0.000149603,0.000149603
18,58.207,0.50636,1.40954,1.02759,0.56595,0.66667,0.995,0.82917,0.46114,5.66062,1.00114,0.000157083,0.000157083,0.000157083
19,61.4266,0.57433,1.18671,1.05134,0.56595,0.66667,0.995,0.82917,0.46114,5.66062,1.00114,0.000164344,0.000164344,0.000164344
20,64.523,0.72366,1.56947,1.09371,0.92714,0.66667,0.995,0.92867,0.44122,4.52983,0.9804,0.000171384,0.000171384,0.000171384
